contract_id,clause_text,clause_type,answer
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,"If Adaptimmune Limited timely exercises its option, the terms of the license shall be negotiated in good faith within six months of the date such option is exercised, or within such time the parties may mutually agree in writing (the ""Negotiation Period""). If Adaptimmune Limited fails to timely exercise its option within the Option Period with respect to any Invention, Adaptimmune Limited's right to negotiate a license agreement with respect to such Invention will automatically terminate, and MD Anderson will be free to negotiate and enter into a license with any other party. If, however, Adaptimmune Limited timely exercises its option, but MD Anderson and Adaptimmune Limited are unable to agree upon the terms of the license during the Negotiation Period, Adaptimmune Limited's right to exclusively license such Invention will terminate, and MD Anderson will be free to enter into a license with any other party (subject to the grant of the non-exclusive license above). If Adaptimmune elects not to file in the United States or not to maintain an application or patent arising from any jointly-owned Invention, Adaptimmune will promptly notify MD Anderson within reasonable time for MD Anderson to file, prosecute or maintain such application or patent, and MD Anderson will have the right to file, prosecute or maintain such application or patent, at MD Anderson's expense. MD Anderson also hereby grants to Adaptimmune Limited an exclusive option to negotiate an<omitted>exclusive (subject to MD Anderson's perpetual, irrevocable, no-cost right to use such Invention for non-commercial internal research, academic and patient care purposes), royalty-bearing license to any Invention in which MD Anderson has an ownership interest, provided that Adaptimmune Limited pays all reasonably incurred patent expenses for such Invention in the event Adaptimmune Limited exercises its option. As between the Parties, Adaptimmune will have the first right to prepare, file, prosecute, maintain, enforce and defend all U.S. and foreign patents, registrations and other forms of intellectual property in any jointly-owned Invention using patent counsel of its choice that is subject to the written approval of MD Anderson not to be unreasonably withheld and at the sole cost and expense of Adaptimmune, with accounting to MD Anderson. Adaptimmune Limited must exercise its option to negotiate a license to any Invention by notifying MD Anderson in writing within six months' of MD Anderson disclosing such Invention to Adaptimmune (the ""Option Period"").",Rofr/Rofo/Rofn,Yes
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.PDF,"UTK agrees to provide the following distinct services to AVDU:<omitted>Present technology acquisition opportunities for AVDU. AVDU will have 30-days to determine if they want to go forward with the technology license.

  a. UTK after 30 days shall have the right to present the technology to other clients.",Rofr/Rofo/Rofn,Yes
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF","The Farids Group shall not deliver more than one ROFR Sale Notice or ROFO Sale Notice in any thirty (30) day period. If by the expiration of the ROFR Transfer Period, the Farids Group has not completed the Transfer of the ROFR Shares, in order for the Farids Group to Transfer such ROFR Shares (or any other Shares) it shall be necessary for a new ROFO Sale Notice or ROFR Sale Notice to be delivered, and the terms and provisions of this Article VII to be again complied with. Subject to the restrictions set forth in Section 5.1 of this Agreement and Section 2.3 of the Warrant, in the event any member of the Farids Group proposes to Transfer (other than a Permitted Transfer) (i) a Threshold Block, in a transaction or series of related transactions, that, to the Farids Group's knowledge (after due inquiry in connection with a private, non-open market transaction) is to a Person whom the Company reasonably determines is a direct or indirect material competitor of the Company or any Affiliate of such Person or (ii) a Significant Block, in a transaction or series of related transactions, that, to the Farids Group's knowledge (after due inquiry in connection with a private, non-open market transaction) is to a Person whom the Company reasonably determines is a direct or indirect material competitor of the Company or any Affiliate of such Person (in each case, regardless of whether such Transfer will constitute a 144 Sale), the Farids Group shall furnish to the Company a written notice of such proposed Transfer (a ""ROFR Sale Notice"") at least (5) business days prior to the business day that the Farids Group proposes to effect such Transfer. The Farids Group shall not deliver more than one ROFO Sale Notice or ROFR Sale Notice in any thirty (30) day period. If by the expiration of the ROFO Transfer Period, the Farids Group has not completed the Transfer of any ROFO Shares at the ROFO Sales Price or a higher price, in order for the Farids Group to Transfer such ROFO Shares (or any other Shares) it shall be necessary for a new ROFO Sale Notice or ROFR Sale Notice to be delivered, and the terms and provisions of this Article VII to be again complied with. In the event that Company does not timely delivery a ROFR Purchase Notice, the Farids Group may sell the ROFR Shares to the proposed transferee identified in the ROFR Sale Notice at the ROFR Sale Price and on the other terms and conditions set forth in the ROFR Sale Documentation no later than three (3) business days following the date the Farids Group proposed to effect such Transfer in the ROFR Sale Notice (the ""ROFR Transfer Period""). The closing of the purchase of such ROFO Shares by the Company and/or any such designee shall take place no later than five (5) business days after delivery of the ROFO Purchase Notice, with payment for such ROFO Shares being made concurrently with such purchase to the Farids Group's account designated in the ROFO Sale Notice. The ROFR Sale Notice shall include: (i) (A) the identity of the proposed transferee, (B) the purchase agreement and other documentation for the proposed Transfer (the ""ROFR Sale Documentation""), (C) the number of Shares proposed to be sold (the ""ROFR Shares""), (D) the per share purchase price in cash at which the Farids Group is prepared to Transfer such ROFR Shares (the ""ROFR Sale Price"") and (E) the date the Farids Group proposes to effect such Transfer; and 28





(ii) an offer to sell to the Company and/or a designee of the Company all of the ROFR Shares at the ROFR Sale Price. In the event that the number of ROFO Shares offered to be purchased in the ROFO Purchase Notice is less than the number of ROFO Shares set forth in the Sale Notice (or the Company does not timely deliver a ROFO Purchase Notice), the Farids Group may sell the ROFO Shares that are not subject to any such ROFO Purchase Notice during the five (5) day business day period beginning on the date in the ROFO Sale Notice on which the Farids Group proposed to begin to effect such 144 Sale (the ""ROFO Transfer Period""); provided that no such ROFO Share may be sold for less than the ROFO Sale Price. If the Company wishes to purchase (and/or cause a designee to purchase) all of the ROFR Shares at the ROFR Sale Price, the Company shall deliver a notice (a ""ROFR Purchase Notice"") to the Farids Group within three (3) business day after receipt of the ROFR Sale Notice. The closing of the purchase of such ROFR Shares by the Company and/or any such designee shall take place no later than the later of (i) the purchase date set forth in the ROFR Sale Documentation and (ii) five (5) business days after delivery of the ROFR Purchase Notice, with payment for such ROFR Shares being made concurrently with such purchase to the Farids Group's account designated in the ROFR Sale Notice. The ROFO Sale Notice shall include: (i) (A) the number of Shares proposed to be sold (the ""ROFO Shares""), (B) the per share purchase price in cash at which the Farids Group is prepared to Transfer such ROFO Shares (the ""ROFO Sale Price"") and (C) the date the Farids Group proposes to begin to effect such 144 Sale; and (ii) (ii) an offer to sell to the Company and/or a designee of the Company all or a portion of the ROFO Shares at the ROFO Sale Price. If the Company wishes to purchase (and/or cause a designee to purchase) all or a portion of the ROFO Shares at the ROFO Sale Price, the Company shall deliver a notice (a ""ROFO Purchase Notice"") to the Farids Group no later 8:00 a.m. New York time on the business day that the Farids Group proposes to effect such 144 Sale specifying the number of ROFO Shares it wishes to purchase (and/or cause a designee to purchase) from the Farids Group If the Company does not timely deliver a ROFR Purchase Notice it shall be deemed to have waived all of its rights with respect to the offer contained in the ROFR Sale Notice. Subject to the restrictions set forth in Section 5.1 of this Agreement and Section 2.3 of the Warrant, in the event any member of the Farids Group proposes to Transfer (other than a Permitted Transfer) a Threshold Block, in a transaction or series of related transactions, of Shares in a 144 Sale, the Farids Group shall furnish to the Company a written notice of such proposed Transfer (a ""ROFO Sale Notice"") at least 48 hours prior to the opening of trading on the Nasdaq Global Market (or such other primary stock exchange upon which the Common Stock is listed) on the business day that the Farids Group proposes to begin to effect such 144 Sale. If the Company does not timely deliver a ROFO Purchase Notice it shall be deemed to have waived all of its rights with respect to the offer contained in the ROFO Sale Notice.",Rofr/Rofo/Rofn,Yes
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.PDF",TKCI will have First Right of Refusal with regard to any sale or disposition of any part or the whole of companies or projects developed in relationship with this alliance.,Rofr/Rofo/Rofn,Yes
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF,"In case OntoChem finds a novel and unexpected antiviral use of those Rejected Hit Compounds during this 2-years period, it will notify Anixa about these findings and Anixa has the right of first negotiation during a period of 6 months after this notification. If Anixa decides to not license those uses or compounds for this novel antiviral use, OntoChem is free to develop those molecules further as its own intellectual property without any further restrictions.",Rofr/Rofo/Rofn,Yes
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,"Biocept will provide notice to Life Technologies on December 31, 2012 if the conditions for the option apply, and if Life Technologies delivers written notice of exercise of such right of negotiation to Biocept on or before January 15, 2013, the parties will negotiate in good faith to conclude a license agreement no later than February 28, 2013. Biocept grants to Life Technologies a non-exclusive option, exercisable during the two (2) year period beginning on the Effective Date, to develop plans, and negotiate with Biocept, for the co-development with Biocept of such systems for the Assay, employing or based on Biocept technologies. If Biocept does not obtain at least ten million dollars ($10,000,000) in equity financing by December 31, 2012, then Life Technologies shall have the non-exclusive option, exercisable by written notice to Biocept given no later than January 15, 2013, to negotiate with Biocept for a license (unless the parties mutually agree to a different transaction structure) to all necessary Intellectual Property<omitted>Rights and know-how to independently commercialize the Assay in accordance with applicable Laws.",Rofr/Rofo/Rofn,Yes
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.PDF,"Upon expiration of this Agreement, with all conditions being equal, Party B has the preferential right to continue Cooperation with Party A in respect of the real estate channel.",Rofr/Rofo/Rofn,Yes
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,"If STW exercises its option to produce and transport the CRA water, STW will construct additional facilities or expand existing facilities, as necessary, to be able to produce and transport the CRA water for sale. STW will have one year from completion of the last of the Post-Well Study (ies) completed on the Existing CRA Well or Replacement CRA Well to exercise its option to produce and transport the water produced from the CRA on the Property (""Option to Produce""). The AGREEMENT shall thereafter terminate as to both Parties if STW has not exercised its Option to Produce at the expiration of the one-year period unless STW pays as royalty on the first day of each month the sum of Five Hundred and 00/100 Dollars ($500.00) per month. STW shall have no right to maintain this AGREEMENT through payment of such a royalty for any one period greater than three consecutive years.",Rofr/Rofo/Rofn,Yes
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.PDF,"if this Agreement is terminated for any reason, Developer shall have the option, but not the obligation to<omitted>assume at no cost to Developer, any or all of Distributor's third party agreements (including End-User Agreements) relating to the Products and to receive any and all fees therefrom.",Rofr/Rofo/Rofn,Yes
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.PDF","Upon  termination,  ENVISION shall have eighteen (18) months to exhaust          any  inventories,  packaging  and  advertising  materials  bearing  the          ""SierraSil""  trademark  and SIERRA  shall have first option to buy back          any inventory at ENVISION's net purchase price.",Rofr/Rofo/Rofn,Yes
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.PDF,"If                   Distributor  does not exercise its option as herein  provided,                   Company may  distribute  the other  Products or devices within                   the Market itself or through other distributors. Distributor  shall exercise its option to                   become  exclusive  Distributor of other Products or devices by                   serving  written  notification  on Company of its  election to                   become  exclusive  distributor  within  thirty  (30) days upon                   which  Company  informed  Distributor  in writing of Company's                   intention  to  introduce   other   Products  or  devices. Should Company  introduce  other products or                   devices as contemplated by recital paragraph ""A"",  Distributor                   shall  have  the  option  of  becoming   Company's   exclusive                   distributor  of such  other  Products  or  devices  within the                   Market.",Rofr/Rofo/Rofn,Yes
TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,"BP shall then have an optional prior right, for a period of fifteen (15) days after receipt of such written notice, to purchase for the stated consideration on the same terms and conditions the interest which Company proposes to sell.",Rofr/Rofo/Rofn,Yes
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.PDF,"If AIRSOPURE fails to notify You of its election to exercise its right of first refusal granted herein within the thirty day period, then You may sell the franchise rights and license or the stock for the amount of the bona fide offer, subject to AIRSOPURE's rights under Section 12.02 above. Any material change in the terms or conditions of any offer prior to closing shall constitute a new offer subject to AIRSOPURE's right of first refusal described herein. If You fail to consummate the transaction within 30 days from the earlier of: (a) receipt of notice from AIRSOPURE that it elects not to exercise its right of first refusal, or (b) expiration of the 15 day period referred to herein, then You must resubmit the proposed transaction to AIRSOPURE, and AIRSOPURE shall have a new 15 day review period and right of first refusal. AIRSOPURE shall have the right, but not the duty, to be exercised by notice of intent to do so within 30 days after termination or expiration, to purchase any or all signs, advertising materials, supplies and inventory and any other items bearing AIRSOPURE's Licensed Marks, at Your cost or at fair market value, whichever is less. AIRSOPURE shall have the option, within 15 days after receipt of such written notice, to notify You that AIRSOPURE elects to purchase the rights and license granted herein or stock ownership on the same terms and conditions as the bona fide written offer.",Rofr/Rofo/Rofn,Yes
JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT.PDF,"If the proposed Transfer includes assets not related to the operation of the Franchise, we may purchase only the assets related to the operation of the Franchise or may also purchase the other assets Any material change in the terms of an offer before closing will make it a new offer, revoking any previous approval or previously made election to purchase and giving us a new right of first refusal effective as of the day we receive formal notice of a material change in the terms. Any later proposal to complete that proposed Transfer will be deemed a new offer, giving us a new right of approval and right of first refusal effective as of the day we receive formal notice of the new (or continuing) proposal. If we do not exercise our right of first refusal, the transferor may complete the sale to the Proposed New Owner pursuant to and on the terms of the offer, as long as we have approved the Transfer as provided in this Section 14. The party proposing the Transfer (the ""transferor"") must obtain a bona fide, executed written offer (accompanied by a ""good faith"" earnest money deposit of at least five percent (5%) of the proposed purchase price) from a responsible and fully disclosed purchaser, and must submit an exact copy of the offer to us. You must immediately notify us of any changes in the terms of an offer. We have the right, exercisable by delivering written notice to the transferor within fifteen (15) days from the date of last delivery to us of the offer and any other documents we have requested, to purchase the Interest for the price and on the terms and conditions contained in the offer, except that we may substitute cash for any form of payment proposed in the offer, and will not be obligated to pay any ""finder's"" or broker's fees that are a part of the proposed Transfer. We will not exercise a right of first refusal with respect to a proposed Transfer of less than a controlling interest to a member of a Principal Owner's immediate family or to your key employees. If you or any of your Principal Owners wishes to Transfer any Interest, we will have a right of first refusal to purchase that Interest as follows. Upon the termination or expiration of the Franchise, we will have the option, but not the obligation, exercisable for thirty (30) days upon written notice to you, to purchase at fair market value all of the assets of the Franchise, including all approved equipment, fixtures, furniture and signs and all supplies, materials, and other items imprinted with any Mark, and to take an assignment of the lease for the Premises and any other lease or concession agreement necessary for the operation of the Franchise.",Rofr/Rofo/Rofn,Yes
"VAPOTHERM, INC. - Manufacturing and Supply Agreement.PDF","Notwithstanding anything to the contrary in this Agreement, Medica shall neither enter into an agreement to nor shall consummate (a) any Change of Control or (b) any sale of all or substantially all of its assets relating to the manufacture of the Cartridges unless (a) it provides Vapotherm written notice of any such proposed transaction, which notice shall include the specific terms and conditions of the proposed transaction, including the identify of the proposed acquirer, (b) Medica offers to enter into such transaction with Vapotherm on substantially the same terms and conditions, and (c) with [* * *] days of such notice, Vapotherm declines to accept such offer.",Rofr/Rofo/Rofn,Yes
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,"During the term of this Agreement, the Licensor shall have the right (the ""Right of First Refusal""), for a period (the ""Exercise Period"")  expiring at 11:59 PM (Eastern Time) on the fifth (5th) business day after the giving of written notice by the Licensee that it has received a bonafide  offer from a third party to (ii) purchase all or substantially all of the assets of Licensee; or (ii) to engage in a merger or consolidation in which  Licensee is not the surviving corporation or in which, if Licensee is the surviving corporation, the owners of Licensee immediately prior to the  consummation of such merger or consolidation do not, immediately after consummation of such merger or consolidation, own stock or other  securities of Licensee that possess a majority of the voting power of all Licensee's outstanding stock and other securities and the power to elect a  majority of the members of Licensee's board of directors. In the event the Licensor declines or fails to exercise in full the Right of First Refusal before the expiration of the Exercise Period, the

Licensee shall have the right to consummate the transaction with the third party.",Rofr/Rofo/Rofn,Yes
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.PDF,"TELKOM hereby grants SAP   AFRICA the right of first refusal to any licence to, or assignment of, such   TELKOM extension or TELKOM modification and TELKOM agrees not to dispose<omitted>of or license, its rights thereto to any third party for a consideration not less than,   and upon other terms not less favourable than those initially offered to SAP   AFRICA.",Rofr/Rofo/Rofn,Yes
Monsanto Company - SECOND A&R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .PDF,"In the event that the Agent develops, or obtains access to, any new natural nonselective weedkiller products (including, without limitation, any herbicidally active substances which are plant extracts, including those derived from oleic acid or which are derived from plant extracts by processing including active substances) in Canada during the respective term of this Agreement, the Agent will grant Monsanto a right of first refusal to include such new products in the Roundup P&L on the same terms as agreed for the current Natural Products, and if accepted, such new products will become Natural Products. For a period of sixty (60) days from the last date of receipt by the Agent of the Roundup Sale Notice and any related Roundup Offering Materials as set forth in Section 10.6(a)(ii) (the ""Exclusive Roundup Sale Period""), Monsanto agrees to negotiate in good faith with the Agent on an exclusive basis with respect to any potential Roundup Sale. If Monsanto (A) receives an unsolicited proposal with respect to a potential Roundup Sale and responds in any manner, other than rejecting such proposal, (B) solicits or makes a formal determination to solicit or make any proposal with respect to a potential Roundup Sale or (C) enters into an agreement relating to the provision of information with respect to a potential Roundup Sale (each a ""Roundup Sale Notice Trigger""), the Agent shall have the rights as set forth in this Section 10.6 with respect to any such Roundup Sale and Monsanto shall promptly provide written notice to the Agent of such Roundup Sale as set forth<omitted>in Section 10.6(a)(ii) (a ""Roundup Sale Notice""). If the Agent fails to agree in writing to accept the Product Offer within such ninety (90) days of receipt, then Monsanto shall have the exclusive right to manufacture, package, promote, distribute, and sell such New Product in the Included Markets, regardless of any actual or potential conflict with the terms of Agreement. The Product Offer shall be in writing, shall be in sufficient detail describing such New Product, and shall be made within sixty (60) days of the date of commercialization of such New Product for uses other than Lawn and Garden Use. In no event shall Monsanto, directly or indirectly, commercialize any New Product for Lawn and Garden Use in the Included Markets without first offering such New Product to the Agent pursuant to the terms of this Section 6.10. Monsanto may consummate a Roundup Sale with any third party only if such Roundup Sale is made pursuant to the acceptance by Monsanto of a Roundup Superior Offer. During the term of this Agreement, Monsanto covenants and agrees to first offer (the ""Product Offer"") to the Agent, with respect to the Included Markets, the exclusive agency and distribution rights to any newly created non-selective herbicide product, which is not marketed for Lawn and Garden Use as of the date of this Agreement, and which Monsanto, in its exclusive, reasonable discretion, determines to be suitable for sale as a new product for Lawn and Garden Use (the ""New Product""); provided, however, that for the Lawn and Garden Market, that any new product containing Glyphosate or another non- selective herbicide shall be considered to be a New Product. In the event that Monsanto engages in a process in which it seeks bids or proposals from more than one third party in connection with a contemplated Roundup Sale, the Agent shall be entitled to a fifteen (15) day exclusive negotiation period following the receipt and review by Monsanto of all bids or proposals (the ""Roundup Quiet Period""), provided that, in determining the value of the price terms of the Agent's bid, Monsanto shall not discount the Agent's bid as a result of the fact that the Termination Fee is an offset or credit against the total purchase price, and that, during the Roundup Quiet Period, the Agent shall have the right to revise its original bid but shall not have the right to review the terms of any other bids or proposals. If the Agent agrees in writing<omitted>within ninety (90) days of receipt of the Product Offer to accept the New Product, then such New Product shall be, without further action or amendment, included within the definition of Roundup Products and be subject to the terms and conditions of this Agreement.",Rofr/Rofo/Rofn,Yes
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.PDF","If ANTHEMIC produces the Event in 2016 and seeks a sponsor in the category, ANTHEMIC will first contact the Sponsor and provide the Sponsor with written notice (the ""Notice) of the terms under which the Sponsor can be the category sponsor for the 2016 Event. The Sponsor will have 15 days from receipt of the Notice to accept the terms to be the category sponsor of the 2014 Event. If the Sponsor decides not to be the category sponsor of the 2016 Event or fails to timely respond to the Notice, then ANTHEMIC may approach other parties to be the category sponsor.",Rofr/Rofo/Rofn,Yes
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).pdf,"Cargill shall have the first option to prepare, file, prosecute, and maintain patent applications and issued/granted patents on  Bioamber Improvements and Joint Improvements, which option may be waived in whole or in part.",Rofr/Rofo/Rofn,Yes
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.pdf,"If such sale, transfer           or conveyance is not consummated in accordance with the offer and the           Terms and Conditions specified in the applicable Offering Notice, the           rights of Licensee to an Offering Notice shall be reinstated.  No           exercise or waiver by Licensee of any of its rights hereunder shall           modify, abridge, impair or affect any of Licensee's rights under any           of the other terms or provisions of this Agreement. Any sale,           transfer or other conveyance of all or any part of the stock in, or           assets of, Licensor in violation of this Section shall be null and           void. Licensee shall have the right and a first opportunity           to purchase, lease or otherwise acquire, as the case may be, all or           the applicable portion of such stock or assets (as specified in the           applicable Offering Notice) on the Terms and Conditions set forth in           the Offering Notice, such right to be exercised by notice in writing           to the Offeree within ninety (90) days after the giving of the           Offering Notice. Skunkware and Licensor hereby           grant to Licensee the exclusive and irrevocable right and option to           purchase (the ""Option""), at Licensee's election, either (i) all of the           assets of Licensor or (ii) all of the issued and outstanding stock of           Licensor. Such option shall be exercisable during a period (the           ""Option Period"") commencing on and including the earlier of (i) the           date upon which Licensee shall have paid to Licensor, in any single           fiscal year of Licensee, royalty payments hereunder in the aggregate           amount of $10,000,000 or (ii) January 1, 2002, and ending upon the           expiration or sooner termination of this Agreement. Upon any such exercise of the Option,           Licensee and Licensor or Skunkware (as the case may be) shall proceed           to diligently and in good faith negotiate and execute a definitive           purchase and sale agreement for Licensor's acquisition of all of the           assets of, or outstanding capital stock in, Licensor, as the case may           be. Licensee's           exercise of the Option is at its sole discretion.  Licensee may           exercise the Option by written notice to Licensor and Skunkware at any           time during the Option Period. Notwithstanding the foregoing provision for arbitration           concerning the terms of any purchase and sale agreement, and without





          limiting any other<omitted>conditions that may be included in any such purchase and sale           agreement, Licensee shall have no obligation to consummate the           acquisition of the assets of, or stock in, Licensor pursuant to its           exercise of the Option if Licensee's board of directors should           determine, in its sole discretion, that such acquisition would not be           accretive to the value of Licensee. If Licensee shall have exercised such right, the           closing shall be held at the corporate offices of Licensee on the           closing date specified in the Offering Notice or the date that is           ninety (90) days after the date of Licensee's notice of its exercise           of such right, whichever is later. If Licensee shall fail to give notice of the exercise of           its right of first<omitted>refusal under this Section within such ninety (90) day period, or if           Licensee shall notify the Offeree within such ninety (90) day period           that Licensee has waived such right, then the Offeree shall have the           right to sell, transfer or convey all or the applicable portion of the           stock in, or assets of, Licensor (as specified in the Offering Notice)           pursuant to the terms of the specific offer described in the           applicable Offering Notice, but not otherwise. If, at any time or from           time to time during the term hereof, Licensor or any stockholder in           Licensor shall have received a bona fide offer from any person or           entity to sell, transfer or otherwise convey all or any stock in, or           assets of, Licensor which Licensor or such stockholder, as the case           may be (the ""Offeree""), desires to accept, the Offeree shall first           give written notice (the ""Offering Notice"") to Licensee of the           financial and other terms and conditions (the ""Terms and Conditions"")           of such offer.",Rofr/Rofo/Rofn,Yes
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,"For purposes of the preceding sentence, and without limiting its generality, any merger, consolidation or reorganization involving Licensee (regardless of whether Licensee is a surviving or disappearing entity) will be deemed to be a transfer of rights, obligations or performance under this Agreement for which Licensor's prior written consent is required.",Change Of Control,Yes
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,"Notwithstanding the foregoing, Skype or Skype Holding may assign this Agreement to a third party without such consent in the event of a merger, reorganization or sale of all or substantially all of Skype's or Skype Holding's assets or voting securities, provided that written notice of such assignment is delivered to Online BVI and the Company and the assignee assumes all the responsibilities and obligations provided herein.",Change Of Control,Yes
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,"Except as otherwise provided herein, a Party shall not have the right to   assign any of its rights or obligations under this Agreement (whether through a merger, sale of stock, or otherwise) without the   prior written consent of the other Party; except that, either Party shall be permitted, without any need for the other Party's   consent, to assign this Agreement (a) in whole or in part to an Affiliate (provided, however, that once such Person is no longer an   Affiliate of the assigning Party, such former Affiliate shall assign this Agreement back to the assigning Party), provided that the   assigning Party provides the other Party notice of any such assignment provided further that failure to provide such notice of such   assignment shall not render such assignment void; or (b) to a Third Party in connection with sale or transfer of all or substantially all   of the assigning Party's business or assets relating to the subject matter of this Agreement, whether by Change of Control, merger,   sale of assets or otherwise; provided, however, that, with respect to clause (b), (i) any assignment of this Agreement shall be void   and have no effect unless and until the assignee assumes the<omitted>obligations of the assigning Party in a written instrument, a copy of which is provided to the other Party; and (ii) any assignment of   this Agreement must be accompanied by a simultaneous assignment of the Other Agreements to the same assignee, and the   assigning Party's interest in the Purchased Assets to the same assignee unless otherwise agreed by Conformis in advance, which   agreement shall not be unreasonably withheld.",Change Of Control,Yes
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,"Notwithstanding the foregoing, each Party may assign the rights and obligations under this Agreement in whole, without consent of the other Party, to a Third Party or Affiliate in connection with the transfer or sale of all or substantially all of its business or in the event of a merger, consolidation or change in control provided that the assignee assumes in writing and becomes directly obligated to the other Party to perform all of the obligations of assignor under this Agreement.",Change Of Control,Yes
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,"If termination is the result of a Change of Control, Distributor shall be entitled to receive a onetime payment, within three (3) business days of the effective date of the Change of Control, equal to the greater of the following 1) the aggregate amount of the Distributor Share received during the 18 months prior to the effective date of such Change of Control or 2) the aggregate amount of the Distributor Share received on the 30 days prior to the effective date of such Change of Control multiplied by 18. This Agreement may be terminated as follows:<omitted>(b) Immediately upon the occurrence of any of the following events and effective upon delivery of notice:<omitted>(8) by either Party, if Hydraspin undergoes a Change of Control<omitted>",Change Of Control,Yes
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"Notwithstanding the foregoing, if any Party to this Agreement (or any of its successors or permitted assigns) (a) shall enter into a consolidation or merger transaction in which such Party is not the surviving entity and the surviving entity acquires or assumes all or substantially all of such Party's assets, (b) shall transfer all or substantially all of such Party's assets to any Person or (c) shall assign this Agreement to such Party's Affiliates, then, in each such case, the assigning Party (or its successors or permitted assigns, as applicable) shall ensure that the assignee or successor-in-interest expressly assumes in writing all of the obligations of the assigning Party under this Agreement, and the assigning Party shall not be required to seek consent, but shall provide written notice and evidence of such assignment, assumption or succession to the non-assigning Party.",Change Of Control,Yes
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"Without limiting ARTICLE VIII, the license granted to the SpinCo Group in Section 3.03(a) shall automatically terminate in the event (i) that any member of the SpinCo Group assigns, transfers, licenses or otherwise conveys any rights in or to the Honeywell Content to any third party or (ii) of (x) the sale of all or substantially all of the ownership interests<omitted>in, or the assets of, any member of the SpinCo Group in a single transaction or a series of related transactions to one or more third parties, (y) any direct or indirect acquisition, consolidation or merger of any member of the SpinCo Group by, with or into any third party or (z) any spin-off, public offering or other corporate reorganization or single transaction or series of related transactions in which direct or indirect control of any member of the SpinCo Group is transferred to one or more third parties, including by transferring an excess of fifty percent (50%) of such member of the SpinCo Group's voting power, shares or equity, through a merger, consolidation, tender offer or similar transaction to one or more third parties. Notwithstanding the foregoing, if any Party to this Agreement (or any of its successors or permitted assigns) (a) shall enter into a consolidation or merger transaction in which such Party is not the surviving entity and the surviving entity acquires or assumes all or substantially all of such Party's assets, (b) shall transfer all or substantially all of such Party's assets to any Person or (c) shall assign this Agreement to such Party's Affiliates, then, in each such case, the assigning Party (or its successors or permitted assigns, as applicable) shall ensure that the assignee or successor- in-interest expressly assumes in writing all of the obligations of the assigning Party under this Agreement, and the assigning Party shall not be required to seek consent, but shall provide written notice and evidence of such assignment, assumption or succession to the non-assigning Party.",Change Of Control,Yes
